layer,avg_baseline_logits,avg_our_logits,avg_baseline_probs,avg_our_probs
0,"tensor(-4.9512, device='cuda:0')","tensor(-4.0611, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0067, device='cuda:0')"
1,"tensor(-4.4773, device='cuda:0')","tensor(-4.3607, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(0.0039, device='cuda:0')"
2,"tensor(-4.5297, device='cuda:0')","tensor(-4.8426, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(0.0030, device='cuda:0')"
3,"tensor(-4.6725, device='cuda:0')","tensor(-4.3878, device='cuda:0')","tensor(0.0026, device='cuda:0')","tensor(0.0032, device='cuda:0')"
4,"tensor(-4.6905, device='cuda:0')","tensor(-4.4688, device='cuda:0')","tensor(0.0025, device='cuda:0')","tensor(0.0038, device='cuda:0')"
5,"tensor(-4.8839, device='cuda:0')","tensor(-4.8225, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0039, device='cuda:0')"
6,"tensor(-4.4734, device='cuda:0')","tensor(-4.3338, device='cuda:0')","tensor(0.0028, device='cuda:0')","tensor(0.0045, device='cuda:0')"
7,"tensor(-4.3559, device='cuda:0')","tensor(-3.5671, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.0077, device='cuda:0')"
8,"tensor(-4.0640, device='cuda:0')","tensor(-4.1866, device='cuda:0')","tensor(0.0050, device='cuda:0')","tensor(0.0058, device='cuda:0')"
9,"tensor(-4.2747, device='cuda:0')","tensor(-3.2503, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(0.0123, device='cuda:0')"
10,"tensor(-4.4275, device='cuda:0')","tensor(-3.2887, device='cuda:0')","tensor(0.0032, device='cuda:0')","tensor(0.0122, device='cuda:0')"
11,"tensor(-4.2566, device='cuda:0')","tensor(-3.2035, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(0.0129, device='cuda:0')"
12,"tensor(-4.2240, device='cuda:0')","tensor(-2.8087, device='cuda:0')","tensor(0.0039, device='cuda:0')","tensor(0.0169, device='cuda:0')"
13,"tensor(-4.3347, device='cuda:0')","tensor(-3.3656, device='cuda:0')","tensor(0.0034, device='cuda:0')","tensor(0.0131, device='cuda:0')"
14,"tensor(-4.4613, device='cuda:0')","tensor(-3.7784, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(0.0087, device='cuda:0')"
15,"tensor(-4.4982, device='cuda:0')","tensor(-3.2489, device='cuda:0')","tensor(0.0026, device='cuda:0')","tensor(0.0119, device='cuda:0')"
16,"tensor(-4.6307, device='cuda:0')","tensor(-3.5627, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0086, device='cuda:0')"
17,"tensor(-4.5984, device='cuda:0')","tensor(-3.3069, device='cuda:0')","tensor(0.0028, device='cuda:0')","tensor(0.0098, device='cuda:0')"
18,"tensor(-4.5885, device='cuda:0')","tensor(-3.4225, device='cuda:0')","tensor(0.0025, device='cuda:0')","tensor(0.0114, device='cuda:0')"
19,"tensor(-4.2648, device='cuda:0')","tensor(-3.0536, device='cuda:0')","tensor(0.0042, device='cuda:0')","tensor(0.0156, device='cuda:0')"
20,"tensor(-4.2826, device='cuda:0')","tensor(-3.8188, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(0.0079, device='cuda:0')"
21,"tensor(-3.7144, device='cuda:0')","tensor(-4.0137, device='cuda:0')","tensor(0.0075, device='cuda:0')","tensor(0.0089, device='cuda:0')"
22,"tensor(-3.9658, device='cuda:0')","tensor(-5.1349, device='cuda:0')","tensor(0.0067, device='cuda:0')","tensor(0.0032, device='cuda:0')"
